config,run_label,benchmark_label,block_number,tx_index,channel_header_type,tx_id,envelope_bytes,envelope_sha256,validation_code,validation_name,endorsements,block_classification,accepted_for_tx_mean,orderer_message_bytes
sphincs,blockutil-60-v1,blockutil-60-tps,15,0,3,5d04d179190ccf07dc6413f8499a3d15e354ffb7cac6d37f291a56144ae89c16,19703,36e77a47542b527fe1e621e49a4238287930a06bb5b030dce598dfe8375cf7cf,-1,unavailable,2,ordinary_transaction,true,19697
sphincs,blockutil-60-v1,blockutil-60-tps,15,1,3,0dc49499fe1d6813e72ee60619ce9b0b982c94746eb6c0e9a43be4c52d390915,19703,6601de5b3083ecff6805191d729025a94c08e29e493af4e5458bd9bd598f0b0e,-1,unavailable,2,ordinary_transaction,true,19697
sphincs,blockutil-60-v1,blockutil-60-tps,15,2,3,40a82c8434f2d23790f38c53219536d7d6c0064186aca3b215f440e9c5bbfad9,19704,fb26d284b61cb578387c6ee3e1dc1833e03f9a7b96b1fab245a81c00cff04c87,-1,unavailable,2,ordinary_transaction,true,19698
sphincs,blockutil-60-v1,blockutil-60-tps,15,3,3,e636955b1981f4f7d15ac9e2fa0de2c624c9e8ecec04d5a5262c41552570e866,19703,0b7081815a30cd7251d49a8df15296d97b0ce6c5954b1da29a9cdfe616da3dda,-1,unavailable,2,ordinary_transaction,true,19697
sphincs,blockutil-60-v1,blockutil-60-tps,15,4,3,f08740fe85a53c0795edfb18ac8ea6793546dd44446400aa20ce0658b9ebdbac,19704,1278b78c91df607ee27951171a7ee7d5bfadee00f8f21d3f2a54f9bdccc92a47,-1,unavailable,2,ordinary_transaction,true,19698
sphincs,blockutil-60-v1,blockutil-60-tps,15,5,3,10399fb088ebc6a27d6efb4d7dc6258743bd68208ca2bcb7e37b60e729ee3070,19704,c3f771054542f72e873dce67fcab4ffe41a995a2e02920500b4adfb35518ba17,-1,unavailable,2,ordinary_transaction,true,19698
sphincs,blockutil-60-v1,blockutil-60-tps,15,6,3,154a474acc6935c728fda0ffc0e2f2b3609914c67245fd169dff116901361e2b,19704,735586206c4833427eceff946aabe08052b36874a1dd3923009ac4a6cfc9cdbc,-1,unavailable,2,ordinary_transaction,true,19698
sphincs,blockutil-60-v1,blockutil-60-tps,15,7,3,16bc0943a5fe48d23c5062331b347373e3611706be833cad2ac0d1339adb66f7,19703,7294757e62f6e65ee70abcd1b809e537780c317ca1f59a2a6b1626ea8b2759dc,-1,unavailable,2,ordinary_transaction,true,19697
sphincs,blockutil-60-v1,blockutil-60-tps,15,8,3,bf793cc1e96a607d042c2cc6030c599ab3d66f0a2534cc88e731578442126078,19708,4400134bfb748cbf554deb899021733a5162fbb40a3bc024376a9312c9f8fa54,-1,unavailable,2,ordinary_transaction,true,19702
sphincs,blockutil-60-v1,blockutil-60-tps,15,9,3,e78843ac9bcbc217f420c640c7524817e987d8bf2cc52e6650c6548a98375a08,19703,4d1577c73b94dc22ea9ca6b6bf938c15172cff18309fb3104ef9857162d2739c,-1,unavailable,2,ordinary_transaction,true,19697
sphincs,blockutil-60-v1,blockutil-60-tps,15,10,3,a86f27dc0ee990be2bcba1db8467058f7f69ec9eb673aef3ef6afd03aa908c63,19708,b7b84924f793d86fd4b2d3039d58f53c79647bb4bf15c3c7e228f0a20099f258,-1,unavailable,2,ordinary_transaction,true,19702
sphincs,blockutil-60-v1,blockutil-60-tps,15,11,3,531e8d6dba18be68b6e3eef47258ce24838ffbe349cb24b8e95cbd30e7db9c6f,19703,e0f16ba54bc30d80fd8bab733b12b8136b0f4b80e264097cb662403261741b5b,-1,unavailable,2,ordinary_transaction,true,19697
sphincs,blockutil-60-v1,blockutil-60-tps,15,12,3,cdc94283080a40f49f20834d0ff123e6a12819ca13cf543cc3155f00b40e3f53,19707,280a690af9ac4e97d2ed1175f9aaca32f0b7a7131b6542b019bdd08ab47b8520,-1,unavailable,2,ordinary_transaction,true,19701
sphincs,blockutil-60-v1,blockutil-60-tps,15,13,3,d17b9ae012a544e545c4ea6e6ee3f9cb726b2f8c0fe1e6d3e62c084261a7135e,19707,c75724aa321d3d7e5aff4f1b1e75ff76bf4dec7c768c0f7640362384d9f337e7,-1,unavailable,2,ordinary_transaction,true,19701
sphincs,blockutil-60-v1,blockutil-60-tps,15,14,3,25c65c350000dd1d6ab30c3506be421ffb6c734be48911960788a418c4129ef1,19707,15800dfa98f6b0c222e0042726ecf400ce660aa2d65bb536c0211f02b05e5ffb,-1,unavailable,2,ordinary_transaction,true,19701
sphincs,blockutil-60-v1,blockutil-60-tps,15,15,3,c78817de93501266d76f46d00143853cb0eb10daf8cc40d734cadfe3adf6383f,19708,a509470e74e9b9906242bb0070af85bde62636e6e81fb2f48761c229d7b9f8d6,-1,unavailable,2,ordinary_transaction,true,19702
sphincs,blockutil-60-v1,blockutil-60-tps,15,16,3,cf378bbd16336129fef72e483466c60242c83a1414c598ae6912b3a656ebf155,19708,7e69cc5f38d13612b77b6cb1997ed15a584d72eff13bfa3593625732a8f32163,-1,unavailable,2,ordinary_transaction,true,19702
sphincs,blockutil-60-v1,blockutil-60-tps,15,17,3,15f88d7fcc0d4102fe77ba42d3d74be38cb26495a7867ccc7be6d3843901715a,19708,d148f87dfa07648587fa16d390a393e5152b49938c7917c98f6c6c65767936fd,-1,unavailable,2,ordinary_transaction,true,19702
sphincs,blockutil-60-v1,blockutil-60-tps,15,18,3,7d432f9aed975348cacfab619acfe5a0686a82118eddea3d3c52337c870311f4,19706,1b67b634af5292bd4e6f9eadda158ee341f1195df2368891499b8bbb49fc3dc7,-1,unavailable,2,ordinary_transaction,true,19700
sphincs,blockutil-60-v1,blockutil-60-tps,15,19,3,0baf2ba55fb0aa075ad4756a81e00e37519b34cb2fd1bdf426ed922b034b5ed7,19708,2d5dde8f7aee5b7567e025a3179a059b46b8ab6be25f069cd4fa2183e9c6350b,-1,unavailable,2,ordinary_transaction,true,19702
sphincs,blockutil-60-v1,blockutil-60-tps,15,20,3,54dcec83552f23dbf118cf946680e8b9a9db0a897bffcd90aa6bcdd1ca27ff23,19706,c221603d8f7c45c65c2a828acdff7d98163145f856b27bad35fbbfa2964294c3,-1,unavailable,2,ordinary_transaction,true,19700
sphincs,blockutil-60-v1,blockutil-60-tps,15,21,3,4977b7f26162861fc86b5045e0661ec42678b72d295701eb7eb954557d54b874,19707,fb9305ac509a4faa32b2f958c7aa0018df416600cdfea88018203b11c1ace282,-1,unavailable,2,ordinary_transaction,true,19701
sphincs,blockutil-60-v1,blockutil-60-tps,15,22,3,c36c9f900ed49925902eb20cf145e08cd905e731a28b836873d26e1e41e28605,19707,ed911bc5cb6177683f34080684cdfb7028efa0bf00884045a8846f285df9bfc2,-1,unavailable,2,ordinary_transaction,true,19701
sphincs,blockutil-60-v1,blockutil-60-tps,15,23,3,309b98c9927d47194f4c27f29a71b31cd1a80adf285a47fe2a3dc8afdb02853d,19707,3d6583f637f0d0d17c42cf7fb9860cf3e513609baf1b5fa3a99273c93f79d2ba,-1,unavailable,2,ordinary_transaction,true,19701
sphincs,blockutil-60-v1,blockutil-60-tps,15,24,3,88192f592c6d173d013245ddb6c259f32a68a21a0e152594c264091b44356e0c,19707,643339a310b0540fe610145ea176a2f3a3778927145c9888230131368da31fab,-1,unavailable,2,ordinary_transaction,true,19701
sphincs,blockutil-60-v1,blockutil-60-tps,15,25,3,33528369e809c71c75be49079fb4cd88a28462403b621bf4204dd682392cf718,19707,e804dca0c00f35ed7a5d24e28f93d4b3fbb2293dddc7dde476c129268eceeb7b,-1,unavailable,2,ordinary_transaction,true,19701
sphincs,blockutil-60-v1,blockutil-60-tps,15,26,3,7ae57966a04d4152002e41c57d3c41161f2706bceee71e522c5dd0a6fdf9f739,19708,e5034727695add4d64085570f9222a62c27f2202603ee0d7a8d2868bb9bc07c8,-1,unavailable,2,ordinary_transaction,true,19702
sphincs,blockutil-60-v1,blockutil-60-tps,15,27,3,d137ccaea815d83f483bec623e1984ec5578ffd4a9f798eade308f09921f1c9f,19707,74d449e34fb6388380941286f409319be72564e386385baa3a8a6f4615908332,-1,unavailable,2,ordinary_transaction,true,19701
sphincs,blockutil-60-v1,blockutil-60-tps,15,28,3,8459fc6200327c3dc16b3a69245298e8c0e5f2dbef78ecbc47795be5085e51e2,19707,c9b37bbee52c51f0bd768e97518a38553cf350aeb03db554739bc1c926a88a9e,-1,unavailable,2,ordinary_transaction,true,19701
sphincs,blockutil-60-v1,blockutil-60-tps,15,29,3,a5d75c45f6bc08b935ab31c5391d6995665ae16ea4fac66bbd635abaacacf84e,19707,4481756facf8adb7bfdcb96299468ff818e345d5584a33da18da758efd451b6e,-1,unavailable,2,ordinary_transaction,true,19701
