config,algorithm,container,implementation,function,result,trace_line_sha256
ml-dsa-65,ML-DSA-65,orderer.example.com,liboqs,oqs.Signature.Verify,success,ccd84ad5628f7d9dc8fbd46bdeb6d22bed77be0f81f79031757fd47c235ba2a3
ml-dsa-65,ML-DSA-65,peer0.org1.example.com,liboqs,oqs.Signature.Verify,success,d11d880696b9316ab0a4c8c42ec29f8b5843b132b7b2ab3cf48236162d019655
ml-dsa-65,ML-DSA-65,peer1.org1.example.com,liboqs,oqs.Signature.Verify,success,f8d6c6d0e022f3662ec4dd6cf5a68e1de9c0395d00179da8cfd58b7ca2b0f94b
ml-dsa-65,ML-DSA-65,peer0.org2.example.com,liboqs,oqs.Signature.Verify,success,c61a28696c31c9eb7fbdebee0e7e1e8d63cc5eba6872a456d78d1cd8147f4368
ml-dsa-65,ML-DSA-65,peer1.org2.example.com,liboqs,oqs.Signature.Verify,success,50ed0047fbe140f5742f0d0e94ccdbaaa03667687e740ba412d66c9e8843de5a
