config,algorithm,container,implementation,function,result,trace_line_sha256
ml-dsa-44,ML-DSA-44,orderer.example.com,liboqs,oqs.Signature.Verify,success,b8ab81a2e456f18491fb6ff8e71ff496a977e1870138c372b6e6f49840da603e
ml-dsa-44,ML-DSA-44,peer0.org1.example.com,liboqs,oqs.Signature.Verify,success,88dee796fe3d88eda45e93ac89571368c69051c302422818694dabd6569bbbab
ml-dsa-44,ML-DSA-44,peer1.org1.example.com,liboqs,oqs.Signature.Verify,success,45e7965f760b4d1291a88f62bbe31d4531066c8c653704691a9872bcb17e8c8d
ml-dsa-44,ML-DSA-44,peer0.org2.example.com,liboqs,oqs.Signature.Verify,success,bb2eed376da61a5f2029c2fb5546faffce63927b86384f56780a3f730d1059f9
ml-dsa-44,ML-DSA-44,peer1.org2.example.com,liboqs,oqs.Signature.Verify,success,885d0d15e20bedef3285639c74b2dd83a4864f8514d26b1abe60b5965d75a87e
