config,run_label,benchmark_label,block_number,block_bytes,transaction_count,header_types,classification,accepted_for_mean
sphincs,blockutil-60-v1,blockutil-60-tps,15,651464,33,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,16,572676,29,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,17,454411,23,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,18,474144,24,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,19,277025,14,3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,20,217878,11,3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,21,336177,17,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,22,257321,13,3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,23,355907,18,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,24,257334,13,3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,25,296761,15,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,26,355908,18,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,27,178470,9,3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,28,474201,24,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,29,375626,19,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,30,493908,25,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,31,474199,24,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,32,296774,15,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,33,769964,39,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,34,316504,16,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,35,651721,33,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,36,572871,29,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,37,198221,10,3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-60-v1,blockutil-60-tps,38,1046144,53,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
