config,run_label,benchmark_label,block_number,block_bytes,transaction_count,header_types,classification,accepted_for_mean
sphincs,blockutil-54-v2,blockutil-54-tps,16,474051,24,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v2,blockutil-54-tps,17,533245,27,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v2,blockutil-54-tps,18,631870,32,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v2,blockutil-54-tps,19,553002,28,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v2,blockutil-54-tps,20,710831,36,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v2,blockutil-54-tps,21,158760,8,3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v2,blockutil-54-tps,22,355930,18,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v2,blockutil-54-tps,23,434842,22,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v2,blockutil-54-tps,24,296813,15,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v2,blockutil-54-tps,25,257363,13,3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v2,blockutil-54-tps,26,454558,23,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v2,blockutil-54-tps,27,237651,12,3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v2,blockutil-54-tps,28,415056,21,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v2,blockutil-54-tps,29,415083,21,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v2,blockutil-54-tps,30,395335,20,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v2,blockutil-54-tps,31,158743,8,3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v2,blockutil-54-tps,32,198189,10,3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v2,blockutil-54-tps,33,277040,14,3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v2,blockutil-54-tps,34,493931,25,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
