config,run_label,benchmark_label,block_number,tx_index,channel_header_type,tx_id,envelope_bytes,envelope_sha256,validation_code,validation_name,endorsements,block_classification,accepted_for_tx_mean
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,18,3,fbe94336a7e54fd9fd91d20c8069713f5a1d7a91c7a6cbcc1a6cd5e9a197b1a4,19707,3516256bc0ebcd9b4f7de81c0e66c100245bd9b7562a2933ad68665f303c6365,-1,unavailable,2,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,19,3,6ab380e0af56b83f8b25b617529729b219eadefd418e67f21876f7977bc70a77,19708,7605408e7c13c600df706ae51f7bc5c661014f5928d6c194922f0e70dc42b994,-1,unavailable,2,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,20,3,8ed99b11777e77fce52c9b96883e925790ab8004e261842669154b274f5d8e1f,19708,3ee4b0d668353eb6d160bdc06b75a894ee9ca54307e7b554679f1f4b5e5bb4f5,-1,unavailable,2,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,21,3,e54b5a145b75c23c88f663c38076c434c8558454d07bf3393fdd37c0e99c2138,19708,6d5ea260aa9c0310b86c9e7e311c9195d79549439278f0f25d68c8cabc1ad673,-1,unavailable,2,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,22,3,1cb74b3681f706130a0b27371036fd9d4c46b7addac38b2dee279457ff174897,19707,0d82f19c1f70f01b488b22d60d33d34d5620cb1fbedf203de6ab447a250e999a,-1,unavailable,2,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,23,3,08d7704224542c3ca8d205fb8a86a0bfded51167f0b8a6c94770ab27875072fa,19707,752bd8beef70dd1d9425c36829fb6a9fbcf4b4f2b64eb7500eaaa227fe947e07,-1,unavailable,2,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,24,3,ddb3033708266a1e85b531b3506014847d7b2ffd115297b7e10f4232d7092485,19706,2c5b4529cbab3c40054e01e4ee6fd7052cfe19d6d3b0980abee42c17d7478002,-1,unavailable,2,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,25,3,87a8edbd4654e1b11410deaef97ef99f07ae9ab0cac73c32179872e5cd914f9a,19707,06e3c1c614a6f3210f5613658503a2c3d860e70aaf058d0dbf09b7a4435c60e1,-1,unavailable,2,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,26,3,3e137d46ea836fd41a5b5f1c124eeb74dff5504088bfe2371d35d0f1defeca88,19707,7fe8116c9e586912c472090df1bf89bd6d979c938b248c308ecb61ab46d85e97,-1,unavailable,2,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,27,3,b49083a7fac254da6d353acf3ab601614c5716d1c9bef8af5824b9836181af96,19707,aee51bccf11bd10a8bf6522e0f8e5a8f028c226f9f8cfe3e0699b1aa5d028a8e,-1,unavailable,2,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,28,3,a8c1028ac16ff974634f07b5341cf9d0981a7d596ac21f27e454b649f2d982b1,19706,51995a2459ddeb3eade157ee5026d03924ba7267d2baf86331e0bbcba42a4847,-1,unavailable,2,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,29,3,f07feca43106aadc7ef700acee315782ac123ccb9f409ebde462cbbda8d1d3d4,19708,b21b252d782525dbfdae672adce45060d2092be449d972fb49e7247b9f011ae0,-1,unavailable,2,ordinary_transaction,true
