config,round_label,offered_tps,total,success,fail,tx_success_rate,tx_error_rate,endorse_sample_count,endorse_median_ms,endorse_p95_ms,endorse_p99_ms,commit_sample_count,commit_median_ms,commit_p95_ms,commit_p99_ms,status,notes,endorse_source,endorse_sha256,commit_source,commit_sha256,e2e_source,e2e_sha256,heights_source,heights_sha256,benchmark_source,benchmark_sha256,log_source,log_sha256
ML-DSA-44,50-tps,50.0,6001,6001,0,1.000000000,0.000000000,6001,4.432088,5.599615,16.018504,6001,1082.322593,1984.443174,2059.820053,clean_equivalent_latency_candidate,Fresh height-7 network and full standardized provenance verified; 50-TPS remains supporting and 200-TPS is professor-selected for final latency.,raw/e1/latency-common-clean-v1_ml-dsa-44_endorse_50-tps_worker0_1789075522811.csv,84f4d42e6e2cab7ae6c8ec0103fdfd2ac1dc4e0d8a893b17aa57cf1df64b2b5e,raw/e1/latency-common-clean-v1_ml-dsa-44_commit_50-tps_worker0_1789075522812.csv,bd0278bf106ce480616defd0425ca484d7af1d32976b9899e38f46bf98f13562,raw/e1/latency-common-clean-v1_ml-dsa-44_e2e_50-tps_worker0_1789075522814.csv,110b3def36f839f376338e12df7c92abde27514c2543436da68e803c3137e870,raw/e1/latency-common-clean-v1_ml-dsa-44_block_heights.csv,61f62fe62f587ec3e362403eb7ec9801b8c521eec8a2e5e9541f21d657618daf,env/caliper/e1/benchmark.yaml,5ae8aa973467a7828237fbc097c8e3936d5a05196de3cfd2881f550b8afd6e1a,raw/e1/latency-common-clean-v1_ml-dsa-44_caliper_run.log,0f414c578787baa0541d380764657558fb578b08e69f912860598dbc40a5d899
ML-DSA-44,200-tps,200.0,24000,24000,0,1.000000000,0.000000000,24000,4.034757,21.290463,33.333694,24000,473.614710,905.356157,955.036991,clean_equivalent_latency_candidate,Fresh height-7 network and full standardized provenance verified; 50-TPS remains supporting and 200-TPS is professor-selected for final latency.,raw/e1/latency-common-clean-v1_ml-dsa-44_endorse_200-tps_worker0_1789075654476.csv,d959a775d956b4f20f7fd94111ce2e8ee80a2365be1ad687c4a413dfa32e6f1a,raw/e1/latency-common-clean-v1_ml-dsa-44_commit_200-tps_worker0_1789075654481.csv,d92e10ab261d1e5a710328b42ee445c6d6eb84e8a831e9a286924029c23fbf5a,raw/e1/latency-common-clean-v1_ml-dsa-44_e2e_200-tps_worker0_1789075654486.csv,79671e462f98ba7ae5b543d315560fe56d98abf66d77e19b6c63390e5e5c5ac1,raw/e1/latency-common-clean-v1_ml-dsa-44_block_heights.csv,61f62fe62f587ec3e362403eb7ec9801b8c521eec8a2e5e9541f21d657618daf,env/caliper/e1/benchmark.yaml,5ae8aa973467a7828237fbc097c8e3936d5a05196de3cfd2881f550b8afd6e1a,raw/e1/latency-common-clean-v1_ml-dsa-44_caliper_run.log,0f414c578787baa0541d380764657558fb578b08e69f912860598dbc40a5d899
